category,avg_monthly_demand,demand_std,last_observed_month,last_3_month_avg_demand,next_month_forecast,avg_forecast_next_6_months,max_forecast_next_6_months,estimated_current_stock,safety_stock,reorder_point,recommended_order_quantity,stockout_risk
Furniture,167.25,88.59,2017-12,336.67,180.02,157.05,180.02,370.33,146.17,303.22,0.0,Low
Office Supplies,477.21,246.21,2017-12,935.33,345.46,426.72,498.21,1028.87,406.25,832.97,0.0,Low
Technology,144.56,76.93,2017-12,293.33,109.55,140.69,167.18,322.67,126.94,267.63,0.0,Low
