category,model_name,rmse,mae,wape,mape,r2,test_rows
Furniture,Random Forest Forecasting Model,52.499419838064235,46.58499999999999,0.17232429099876692,0.18074572316066295,0.6913408437647761,6
Furniture,Naive Baseline Lag-1,91.06224977087561,71.66666666666667,0.2651048088779285,0.27348559746169676,0.07136102331831862,6
Office Supplies,Random Forest Forecasting Model,252.47512900613927,202.36,0.24658001624695372,0.21131381161261434,0.006791333861942972,6
Office Supplies,Naive Baseline Lag-1,309.1372402887322,260.1666666666667,0.3170186839967506,0.3227047114789065,-0.4890385654137004,6
Technology,Random Forest Forecasting Model,88.90643921186661,70.82666666666667,0.2770273794002608,0.2484956654620639,-0.315735636605756,6
Technology,Naive Baseline Lag-1,111.84140557056675,97.16666666666667,0.38005215123859193,0.3587591248701898,-1.0821280609602724,6
